Apellidos	Bodega	Código	Nombre del artículo	Línea	No. de parte	Unidad	Cantidad disponible	Precio	Proveedor	Detalles del artículo
0521101	05	21101	"SERV INSTALACION ACTUAD,CABLEADO"	VAPOR		CU	0	4615000	UNIVERSO DEL TORNO	
0521102	05	21102	INSTALACION MEDIDOR PROSANIC	VAPOR		CU	0	101400	UNIVERSO DEL TORNO	
0521103	05	21103	CAMBIO VALV DE CONTROL FILTROS F131991	VAPOR		CU	0	13861162.7	TS	
0521104	05	21104	TUBERIA H.N C.BRIDAS/NIPLE C.REDUC Y BRIDAS 131992	VAPOR		CU	0	2225600	TS	
0521105	05	21105	CASETA DE BOMBEO LOS CHILES F-127371	VAPOR		CU	0	54108936.46	TS	
0521106	05	21106	SERV DE TAPON EXCENTRICOS AYA	VAPOR		CU	0	30961044.99	TS	
0521110	05	21110	DADO OPERADOR VM S30 F.N	VAPOR		CU	4	31850	UNIVERSO DEL TORNO	
0521111	05	21111	FABRICACION ACOPLES AC/INOX	VAPOR		CU	0	13000	UNIVERSO DEL TORNO	
0521112	05	21112	FABRIC MESA AC/INOX C/RUEDAS	VAPOR		CU	0	438100	UNIVERSO DEL TORNO	
0521113	05	21113	MODIFICAR KIT MONTAJE EZ-009S-3	VAPOR		CU	0	15000	ARTOLA	
0521114	05	21114	MODIFICAR KIT MONTAJE EZ-005S-3	VAPOR		CU	0	9100	UNIVERSO DEL TORNO	
0521701	05	21701	"ADAPTADOR C1 VM 6"""	VAPOR		CU	2	11700	ARTOLA	
0521983	05	21983	VALV COMP BR 200# T-83 1/4	VAPOR		CU	2	1166.55	TUBOCOBRE	
0522020	05	22020	"NIPLE H.N C-40 2"" X 6"""	VAPOR		CU	1	1670	TECNOVAL	"Niple hierro negro cedula 40 2""x6"
0522022	05	22022	"NIPLE H.N C-40 1"" X 2"""	VAPOR		CU	0	190	FACENIL	
0522023	05	22023	"NIPLE H.N C-40 1"" X 3"""	VAPOR		CU	0	260	FACENIL	
0522024	05	22024	"NIPLE H.N C-40 1"" X 5"""	VAPOR		CU	0	396	FACENIL	
0522025	05	22025	"NIPLE H.N C-40 1"" X 6"""	VAPOR		CU	0	465	FACENIL	
0522026	05	22026	"CODO H.N ROSC C-40 1"" X 90§"	VAPOR		CU	0	556	FACENIL	
0522027	05	22027	"UNION TOPE H.N ROSC C-40 1"""	VAPOR		CU	0	1870	FACENIL	
0522028	05	22028	"UNION TOPE H.N ROSC C-40 1-1/4"""	VAPOR		CU	0	2487	FACENIL	
0522029	05	22029	"BUSH H.N ROSC C-40 1-1/4"" X 1"""	VAPOR		CU	0	556	FACENIL	
0522030	05	22030	"NIPLE H.N C-40 1"" X 27"""	VAPOR		CU	0	5953	FACENIL	
0522031	05	22031	"NIPLE H.N C-40 1"" X 16.5"""	VAPOR		CU	0	5225	FACENIL	
0522032	05	22032	"NIPLE H.N C-40 1"" X 42"""	VAPOR		CU	0	6991	FACENIL	
0522126	05	22126	"VALV GLOBO AF-13% C/F 150# 2"""	VAPOR		CU	0	103940	TECNOVAL	
0522180	05	22180	"JUEGO NIVEL 1/2"" 20-351-00"	VAPOR		CU	0	60725	SETEC	
0522181	05	22181	"JUEGO NIVEL 3/4"" 20-354-00"	VAPOR		CU	0	83070	SETEC	
0522209	05	22209	"VALV SEG APOLLO 19KEEA-125# 1"""	VAPOR		CU	0	109894.21	CENTRAL DE VALVULAS	"Válvula de seguridad marca Conbraco/Apollo, Seteada a 150 PSI, Conexión de 1-1/4""  a la entrada, salida en 1-1/2"" NPT, Serie 19, Trim en Bronce, asientos de Teflón, para uso en vapor saturado. Capacidad de 4240 libras/hora en vapor saturado."
0522222	05	22222	"VALV SEG 125# 1"" X 1-1/4"" AL9"	VAPOR		CU	0	88885	TUBOCOBRE	"Válvula de seguridad marca Apollo Conbraco. Seteada a 20 PSI, conexión a la entrada de 1/2"" conexión a la salida de 3/4"" modelo 19SDCA-20"
0522223	05	22223	VALV SEG 125# 1-1/4 X 1-1/2 AL9	VAPOR		CU	0	109900	TUBOCOBRE	
0522245	05	22245	"VALV BOLA BR NIBCO 150/600 3"""	VAPOR		CU	0	76095	TUBOCOBRE	"Válvula de Bola marca Apollo/Conbraco, Serie 70, Conexión de 2"" NPT, cuerpo en Bronce, Presión máxima de operación en vapor de 150 psig, se puede utilizar en vacío hasta 29 inHg. Asientos en RPTFE."
0522251	05	22251	"VALV BOLA A/C 2000# 3/4"" MILW"	VAPOR		CU	1	12800	TECNOVAL	
0522393	05	22393	"VALV AGUJA INOX 6000# 1/4"""	VAPOR	ND-606	CU	0	16200	CENTRAL DE VALVULAS	
0522394	05	22394	"VALV AGUJA INOX 6000# 1/2"""	VAPOR	ND-606	CU	0	17770	CENTRAL DE VALVULAS	
0522790	05	22790	V SOL 7131TBN2JV00 150# 1/4 HW	VAPOR		CU	1	27085.8	TECNOVAL	
0527055	05	27055	CODO H.N C-40 1-1/2 X 90§	VAPOR		CU	5	487.85	FACENIL	"Codo hierro negro cedula 40 11/2""x90"
0528165	05	28165	"TEE H.N C-40 C/R 2"""	VAPOR		CU	1	2605	FACENIL	Tee hierro negro con rosca cedula 40 2
0528168	05	28168	"TEE INOX C-40 SOLDABLE 3/4"""	VAPOR		CU	4	628.1	FACENIL	Tee acero inoxidable soldable cedula 40 3/4
0528200	05	28200	"SIFON HIERRO C/R 1/4"""	VAPOR		CU	3	2360	TECNOVAL	"Sifón hierro negro 1/4""con rosca cedula 40 para manómetros"
0528201	05	28201	"MEDIDOR AGUA BR C/R LXSG 1"""	VAPOR		CU	0	36799	TECNOVAL	
0528202	05	28202	"MEDIDOR AGUA BR ZENNER MTKD S1 1/2"""	VAPOR		CU	0	17105	TECNOVAL	
0528804	05	28804	"BRIDA SOLD C/C C-150 4"""	VAPOR		CU	0	11885	TECNOVAL	
0528805	05	28805	BRIDA SOLD S/C C-150 1-1/4	VAPOR		CU	0	2015	TECNOVAL	
0528806	05	28806	"BRIDA SOLD C/C C-150 2-1/2"""	VAPOR		CU	0	7915	TECNOVAL	
0528807	05	28807	"BRIDA SOLD S/C C-150 2-1/2"""	VAPOR		CU	0	5670	CENTRAL DE VALVULAS	
0528808	05	28808	"BRIDA SOLD S/C C-150 4"""	VAPOR		CU	0	8180	TUBOCOBRE	Brida soldable hierro negro sin cuello clase 150 4
0528809	05	28809	"BRIDA SOLD S/C C-150 6"""	VAPOR		CU	2	10535	TUBOCOBRE	
0528810	05	28810	"BRIDA ROSC A/CARB C-150 3"""	VAPOR		CU	0	5650	TUBOCOBRE	
0528811	05	28811	"BRIDA SOLD S/C C-150 5"""	VAPOR		CU	0	9685	TUBOCOBRE	
0528812	05	28812	"BRIDA SOLD S/C C-150 8"""	VAPOR		CU	4	15975	FACENIL	
0528813	05	28813	"BRIDA SOLD S/C C-300 8"""	VAPOR		CU	0	34805	TUBOCOBRE	
0528814	05	28814	"BRIDA SOLD S/C C-300 4"""	VAPOR		CU	2	14070	TUBOCOBRE	
0528815	05	28815	"BRIDA SOLD S/C C-300 1"""	VAPOR		CU	0	2430	TUBOCOBRE	
0528816	05	28816	"BRIDA SOLD S/C C-150 12"""	VAPOR		CU	0	43110	TUBOCOBRE	
0528830	05	28830	"TEE H.N SOLD C-150 3"""	VAPOR		CU	0	3185	TUBOCOBRE	
0528831	05	28831	TEE H.N ROSC C-150 1-1/4	VAPOR		CU	0	1060	TUBOCOBRE	
0528840	05	28840	"BRIDA INOX C/C C-150 SOLD 2"""	VAPOR		CU	0	16565	TECNOVAL	
0528841	05	28841	"BRIDA INOX S/C C-150 SOLD 2-1/2"""	VAPOR		CU	0	20500	CENTRAL DE VALVULAS	
0528842	05	28842	"BRIDA INOX S/C C-150 SOLD 2"""	VAPOR		CU	4	15690	CENTRAL DE VALVULAS	
0528843	05	28843	"BRIDA INOX S/C C-150 SOLD 4"""	VAPOR		CU	0	24360	CENTRAL DE VALVULAS	
0528849	05	28849	REDUC CAMP H.N C/R C-150 1/2 X 1/4	VAPOR		CU	0	220	TUBOCOBRE	
0528850	05	28850	"REDUC CAMP SOLD C-150 3""X2-1/2"""	VAPOR		CU	0	2275	TUBOCOBRE	
0528851	05	28851	"REDUC CAMP SOLD C-80 6""X4"""	VAPOR		CU	0	9465	TECNOVAL	
0528852	05	28852	"REDUC CAMP SOLD C-150 8""X6"""	VAPOR		CU	0	7010	TUBOCOBRE	
0528853	05	28853	REDUC BUSH H.N C/R C-40 3/4X1/2	VAPOR		CU	0	264	FACENIL	
0528854	05	28854	REDUC BUSH C/R C-40 2X1-1/4	VAPOR		CU	0	966	FACENIL	
